date,value
2000-01-01,20692
2000-02-01,16789
2000-03-01,20939
2000-04-01,17891
2000-05-01,19901
2000-06-01,21008
2000-07-01,16789
2000-08-01,20482
2000-09-01,21036
2000-10-01,21040
2000-11-01,22567
2000-12-01,19978
2001-01-01,20692
2001-02-01,20826
2001-03-01,20939
2001-04-01,17891
2001-05-01,19901
2001-06-01,21008
2001-07-01,20108
2001-08-01,20482
2001-09-01,21036
2001-10-01,21040
2001-11-01,17972
2001-12-01,19978
2002-01-01,20692
2002-02-01,20826
2002-03-01,20939
2002-04-01,17891
2002-05-01,19901
2002-06-01,22567
2002-07-01,20108
2002-08-01,20482
2002-09-01,21036
2002-10-01,21040
2002-11-01,17972
2002-12-01,19978
2003-01-01,20692
2003-02-01,20826
2003-03-01,20939
2003-04-01,17891
2003-05-01,19901
2003-06-01,21008
2003-07-01,20108
2003-08-01,20482
2003-09-01,21036
2003-10-01,21040
2003-11-01,17972
2003-12-01,19978
2004-01-01,20692
2004-02-01,20826
2004-03-01,20939
2004-04-01,17891
2004-05-01,19901
2004-06-01,21008
2004-07-01,23456
2004-08-01,20482
2004-09-01,21036
2004-10-01,21040
2004-11-01,17972
2004-12-01,19978
2005-01-01,20692
2005-02-01,20826
2005-03-01,20939
2005-04-01,17891
2005-05-01,19901
2005-06-01,21008
2005-07-01,20108
2005-08-01,20482
2005-09-01,13456
2005-10-01,21040
2005-11-01,17972
2005-12-01,19978
2006-01-01,20692
2006-02-01,22987
2006-03-01,20939
2006-04-01,17891
2006-05-01,19901
2006-06-01,21008
2006-07-01,20108
2006-08-01,16789
2006-09-01,21036
2006-10-01,21040
2006-11-01,17972
2006-12-01,19978
2007-01-01,20692
2007-02-01,16789
2007-03-01,20939
2007-04-01,17891
2007-05-01,19901
2007-06-01,21008
2007-07-01,20108
2007-08-01,20482
2007-09-01,21036
2007-10-01,21040
2007-11-01,17972
2007-12-01,19978
2008-01-01,20988
2008-02-01,20457
2008-03-01,20932
2008-04-01,20580
2008-05-01,21180
2008-06-01,17618
2008-07-01,22222
2008-08-01,19880
2008-09-01,20796
2008-10-01,20496
2008-11-01,21046
2008-12-01,16789
2009-01-01,19798
2009-02-01,20551
2009-03-01,16789
2009-04-01,20776
2009-05-01,20945
2009-06-01,20547
2009-07-01,18581
2009-08-01,20464
2009-09-01,21187
2009-10-01,20538
2009-11-01,20868
2009-12-01,22222
2010-01-01,19798
2010-02-01,20551
2010-03-01,20608
2010-04-01,20776
2010-05-01,20945
2010-06-01,20547
2010-07-01,18581
2010-08-01,20464
2010-09-01,21187
2010-10-01,20538
2010-11-01,20868
2010-12-01,21379
2011-01-01,16789
2011-02-01,20551
2011-03-01,20608
2011-04-01,20776
2011-05-01,20945
2011-06-01,20547
2011-07-01,18581
2011-08-01,20464
2011-09-01,21187
2011-10-01,20538
2011-11-01,20868
2011-12-01,21379
2012-01-01,20692
2012-02-01,20826
2012-03-01,20939
2012-04-01,17891
2012-05-01,19901
2012-06-01,21008
2012-07-01,20108
2012-08-01,20482
2012-09-01,11111
2012-10-01,21040
2012-11-01,17972
2012-12-01,22222
2013-01-01,20692
2013-02-01,20826
2013-03-01,20939
2013-04-01,17891
2013-05-01,18581
2013-06-01,21008
2013-07-01,16789
2013-08-01,20482
2013-09-01,21036
2013-10-01,21040
2013-11-01,17972
2013-12-01,19978
2014-01-01,20692
2014-02-01,16789
2014-03-01,20939
2014-04-01,17891
2014-05-01,19901
2014-06-01,21008
2014-07-01,18581
2014-08-01,20482
2014-09-01,21036
2014-10-01,21040
2014-11-01,17972
2014-12-01,19978
2015-01-01,20692
2015-02-01,20826
2015-03-01,20939
2015-04-01,17891
2015-05-01,19901
2015-06-01,21008
2015-07-01,18581
2015-08-01,20482
2015-09-01,21036
2015-10-01,21040
2015-11-01,17972
2015-12-01,18581
2016-01-01,20692
2016-02-01,20826
2016-03-01,20939
2016-04-01,22222
2016-05-01,19901
2016-06-01,21008
2016-07-01,20108
2016-08-01,20482
2016-09-01,22222
2016-10-01,21040
2016-11-01,17972
2016-12-01,19978
